PROCEDURE_CAT;PROCEDURE_SCHEM;PROCEDURE_NAME;COLUMN_NAME;COLUMN_TYPE;DATA_TYPE;TYPE_NAME;PRECISION;LENGTH;SCALE;RADIX;NULLABLE;REMARKS
FLC_RU;alexs;usp_class_member_group_v2_1;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_member_group_v2_1;1;@PLEVEL;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;usp_class_process_event;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_process_event;1;@OBJECT_ID;1;2;numeric;18;9;0;0;2;null
FLC_RU;alexs;usp_class_process_event;1;@EVENT;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_process_event;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log101;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_process_test_log101;1;@DELAY_TIME;1;12;varchar;8;8;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log101;1;@BATCH_ROWS;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log101;1;@STOP_DATE;1;93;smalldatetime;16;4;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log101;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log102;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_process_test_log102;1;@DELAY_TIME;1;12;varchar;8;8;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log102;1;@BATCH_ROWS;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log102;1;@STOP_DATE;1;93;smalldatetime;16;4;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log102;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log103;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_process_test_log103;1;@DELAY_TIME;1;12;varchar;8;8;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log103;1;@BATCH_ROWS;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log103;1;@STOP_DATE;1;93;smalldatetime;16;4;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log103;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log104;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_process_test_log104;1;@DELAY_TIME;1;12;varchar;8;8;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log104;1;@BATCH_ROWS;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log104;1;@STOP_DATE;1;93;smalldatetime;16;4;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log104;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_process_test_log;1;@DELAY_TIME;1;12;varchar;8;8;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log;1;@BATCH_ROWS;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_process_test_log;1;@STOP_DATE;1;93;smalldatetime;16;4;0;0;2;null
